ID,Nome,Idade,Regiao,Contrato,Carteirinha,Inspecao_Medica,Primeiro_Contrato,Ultimo_Contrato,Recomendacao
4753,Juliana Lima Araújo,12,Oeste,Dependente (4751),Desativada,Dentro da validade,2004-10-10,2009-10-09,Sim
4754,Tatiana Moreira,39,Oeste,Sem Contrato,Ativada,Fora da validade,2004-12-02,2005-12-02,Não
4755,Ricardo Barbosa Moreira,44,Oeste,Dependente (4754),Ativada,Fora da validade,,,Sim
4756,Leticia Cunha Moreira,7,Oeste,Dependente (4754),Ativada,Fora da validade,2004-12-02,2005-12-02,Sim
4757,Leonardo Vieira,38,Norte,Sem Contrato,Desativada,Dentro da validade,2004-03-09,2009-03-08,Sim
4758,Alexandre Araújo Vieira,62,Norte,Dependente (4757),Desativada,Dentro da validade,2004-03-09,2009-03-08,Sim
4759,Rafael Mendes Vieira,29,Norte,Dependente (4757),Ativada,Dentro da validade,,,Sim
4760,Daniela Sousa Vieira,16,Norte,Dependente (4757),Ativada,Fora da validade,,,Sim
4761,Daniela Sousa,42,Sul,Sem Contrato,Desativada,Fora da validade,2004-05-04,2009-05-03,Não
4762,José Carvalho Sousa,19,Sul,Dependente (4761),Ativada,Dentro da validade,,,Sim
4763,Felipe Barros,22,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-05-08,2005-05-08,Sim
4764,Isabela Castro Barros,13,Oeste,Dependente (4763),Ativada,Fora da validade,,,Sim
4765,Monica Batista,18,Oeste,Sem Contrato,Ativada,Fora da validade,2004-03-17,2009-03-16,Não
4766,Isabela Castro Batista,48,Oeste,Dependente (4765),Ativada,Fora da validade,,,Sim
4767,Fernando Alves,31,Oeste,Sem Contrato,Desativada,Fora da validade,2004-05-01,2009-04-30,Não
4768,Pedro Oliveira Alves,37,Oeste,Dependente (4767),Ativada,Fora da validade,,,Sim
4769,Fernanda Gomes Alves,23,Oeste,Dependente (4767),Ativada,Dentro da validade,2004-05-01,2009-04-30,Sim
4770,Raquel Pires Alves,65,Oeste,Dependente (4767),Ativada,Dentro da validade,,,Sim
4771,Tatiana Moreira Alves,18,Oeste,Dependente (4767),Ativada,Fora da validade,,,Sim
4772,Leonardo Vieira,28,Norte,Sem Contrato,Desativada,Dentro da validade,2004-10-22,2009-10-21,Sim
4773,Rodrigo Neves Vieira,58,Norte,Dependente (4772),Desativada,Dentro da validade,,,Sim
4774,Henrique Lopes Vieira,60,Norte,Dependente (4772),Desativada,Dentro da validade,,,Sim
4775,Rodrigo Neves,56,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-04-17,2009-04-16,Não
4776,João Silva Neves,7,Oeste,Dependente (4775),Desativada,Fora da validade,,,Sim
4777,Roberto Martins Neves,40,Oeste,Dependente (4775),Ativada,Dentro da validade,,,Sim
4778,Gabriel Ramos Neves,52,Oeste,Dependente (4775),Desativada,Fora da validade,2004-04-17,2009-04-16,Sim
4779,Renata Campos Neves,32,Oeste,Dependente (4775),Ativada,Dentro da validade,,,Sim
4780,Lucas Teixeira,34,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-11-09,2014-11-07,Sim
4781,Bruna Ribeiro Teixeira,42,Oeste,Dependente (4780),Ativada,Fora da validade,,,Sim
4782,Juliana Lima Teixeira,10,Oeste,Dependente (4780),Ativada,Fora da validade,,,Sim
4783,Paulo Nascimento Teixeira,55,Oeste,Dependente (4780),Desativada,Fora da validade,,,Sim
4784,Fernando Alves Teixeira,26,Oeste,Dependente (4780),Ativada,Fora da validade,2004-11-09,2014-11-07,Sim
4785,Marcelo Rezende Teixeira,25,Oeste,Dependente (4780),Ativada,Dentro da validade,,,Sim
4786,Maria Santos,50,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-10-05,2014-10-03,Sim
4787,Marcelo Rezende Santos,48,Oeste,Dependente (4786),Ativada,Dentro da validade,,,Sim
4788,Carolina Freitas Santos,44,Oeste,Dependente (4786),Desativada,Fora da validade,,,Sim
4789,Tatiana Moreira,38,Oeste,Sem Contrato,Ativada,Fora da validade,2004-10-21,2014-10-19,Sim
4790,Silvia Cavalcanti Moreira,41,Oeste,Dependente (4789),Desativada,Dentro da validade,,,Sim
4791,Pedro Oliveira Moreira,13,Oeste,Dependente (4789),Desativada,Fora da validade,,,Sim
4792,Fernanda Gomes Moreira,55,Oeste,Dependente (4789),Ativada,Dentro da validade,,,Sim
4793,Felipe Barros Moreira,42,Oeste,Dependente (4789),Ativada,Dentro da validade,2004-10-21,2014-10-19,Sim
4794,Isabela Castro Moreira,7,Oeste,Dependente (4789),Desativada,Dentro da validade,,,Sim
4795,Monica Batista Moreira,59,Oeste,Dependente (4789),Ativada,Dentro da validade,2004-10-21,2014-10-19,Sim
4796,Isabela Castro,45,Sul,Sem Contrato,Ativada,Fora da validade,2004-12-28,2009-12-27,Sim
4797,Gabriel Ramos Castro,41,Sul,Dependente (4796),Ativada,Fora da validade,,,Sim
4798,Rafael Mendes,60,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-10-13,2005-10-13,Sim
4799,Adriana Farias,66,Oeste,Sem Contrato,Ativada,Fora da validade,2004-01-13,2005-01-12,Não
4800,Gabriel Ramos Farias,46,Oeste,Dependente (4799),Desativada,Fora da validade,,,Sim
4801,Renata Campos,49,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-03-16,2014-03-14,Sim
4802,Lucia Ferreira Campos,8,Oeste,Dependente (4801),Desativada,Fora da validade,,,Sim
4803,Isabela Castro Campos,48,Oeste,Dependente (4801),Ativada,Fora da validade,,,Sim
4804,Eduardo Moura Campos,54,Oeste,Dependente (4801),Ativada,Fora da validade,,,Sim
4805,Monica Batista,24,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-05-05,2005-05-05,Não
4806,Silvia Cavalcanti Batista,58,Oeste,Dependente (4805),Desativada,Dentro da validade,,,Sim
4807,Patricia Rocha Batista,61,Oeste,Dependente (4805),Ativada,Dentro da validade,2004-05-05,2005-05-05,Sim
4808,Leticia Cunha Batista,61,Oeste,Dependente (4805),Ativada,Fora da validade,,,Sim
4809,Felipe Barros,33,Sul,Sem Contrato,Ativada,Dentro da validade,2004-03-10,2009-03-09,Sim
4810,Henrique Lopes Barros,36,Sul,Dependente (4809),Desativada,Dentro da validade,2004-03-10,2009-03-09,Sim
4811,Simone Fonseca Barros,59,Sul,Dependente (4809),Ativada,Dentro da validade,,,Sim
4812,Amanda Dias Barros,65,Sul,Dependente (4809),Ativada,Dentro da validade,,,Sim
4813,Daniela Sousa Barros,27,Sul,Dependente (4809),Desativada,Dentro da validade,,,Sim
4814,Rodrigo Neves,19,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-08-24,2009-08-23,Não
4815,Lucas Teixeira,19,Sul,Sem Contrato,Ativada,Dentro da validade,2004-05-15,2005-05-15,Não
4816,Juliana Lima Teixeira,9,Sul,Dependente (4815),Ativada,Dentro da validade,,,Sim
4817,Simone Fonseca Teixeira,18,Sul,Dependente (4815),Ativada,Dentro da validade,,,Sim
4818,Tatiana Moreira,63,Oeste,Sem Contrato,Desativada,Fora da validade,2004-01-17,2014-01-14,Não
4819,Lucia Ferreira Moreira,20,Oeste,Dependente (4818),Desativada,Fora da validade,,,Sim
4820,Renata Campos Moreira,56,Oeste,Dependente (4818),Ativada,Fora da validade,,,Sim
4821,Monica Batista,39,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-07-06,2005-07-06,Sim
4822,Bruno Castro,47,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-01-20,2009-01-18,Sim
4823,Anderson Coelho Castro,47,Oeste,Dependente (4822),Ativada,Dentro da validade,,,Sim
4824,Vinicius Torres Castro,53,Oeste,Dependente (4822),Ativada,Dentro da validade,,,Sim
4825,Fernando Alves,23,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-07-23,2009-07-22,Não
4826,Tatiana Moreira Alves,30,Oeste,Dependente (4825),Ativada,Dentro da validade,,,Sim
4827,Gustavo Azevedo Alves,32,Oeste,Dependente (4825),Desativada,Dentro da validade,,,Sim
4828,Lucas Teixeira Alves,37,Oeste,Dependente (4825),Ativada,Dentro da validade,,,Sim
4829,Alexandre Araújo,55,Oeste,Sem Contrato,Desativada,Fora da validade,2004-08-24,2014-08-22,Não
4830,Maria Santos Araújo,52,Oeste,Dependente (4829),Ativada,Dentro da validade,,,Sim
4831,Maria Santos,56,Oeste,Sem Contrato,Ativada,Fora da validade,2004-07-25,2009-07-24,Não
4832,Vinicius Torres Santos,19,Oeste,Dependente (4831),Ativada,Dentro da validade,,,Sim
4833,Gabriel Ramos,49,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-12-26,2005-12-26,Sim
4834,Bruna Ribeiro Ramos,16,Oeste,Dependente (4833),Desativada,Dentro da validade,,,Sim
4835,Juliana Lima,22,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-01-29,2009-01-27,Não
4836,Amanda Dias Lima,18,Oeste,Dependente (4835),Ativada,Fora da validade,,,Sim
4837,Marcelo Rezende Lima,52,Oeste,Dependente (4835),Ativada,Dentro da validade,,,Sim
4838,Ricardo Barbosa,37,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-08-21,2009-08-20,Não
4839,Marcos Pereira Barbosa,63,Oeste,Dependente (4838),Desativada,Fora da validade,2004-08-21,2009-08-20,Sim
4840,José Carvalho Barbosa,58,Oeste,Dependente (4838),Ativada,Dentro da validade,,,Sim
4841,Monica Batista Barbosa,49,Oeste,Dependente (4838),Desativada,Dentro da validade,2004-08-21,2009-08-20,Sim
4842,Mariana Duarte Barbosa,35,Oeste,Dependente (4838),Ativada,Dentro da validade,,,Sim
4843,Carolina Freitas Barbosa,9,Oeste,Dependente (4838),Ativada,Dentro da validade,2004-08-21,2009-08-20,Sim
4844,Tatiana Moreira,50,Oeste,Sem Contrato,Desativada,Fora da validade,2004-03-13,2009-03-12,Sim
4845,Thiago Monteiro Moreira,18,Oeste,Dependente (4844),Desativada,Fora da validade,2004-03-13,2009-03-12,Sim
4846,Carolina Freitas Moreira,45,Oeste,Dependente (4844),Ativada,Dentro da validade,,,Sim
4847,Rafael Mendes Moreira,26,Oeste,Dependente (4844),Desativada,Fora da validade,,,Sim
4848,Bruno Castro Moreira,38,Oeste,Dependente (4844),Ativada,Fora da validade,,,Sim
4849,Carolina Freitas,53,Sul,Sem Contrato,Desativada,Fora da validade,2004-02-08,2005-02-07,Sim
4850,Camila Rodrigues,40,Oeste,Sem Contrato,Ativada,Fora da validade,2004-07-11,2009-07-10,Não
4851,Anderson Coelho Rodrigues,41,Oeste,Dependente (4850),Ativada,Fora da validade,,,Sim
4852,Carlos Souza,21,Norte,Sem Contrato,Desativada,Fora da validade,2004-01-22,2014-01-19,Não
4853,Fernanda Gomes Souza,24,Norte,Dependente (4852),Desativada,Dentro da validade,,,Sim
4854,Amanda Dias,54,Oeste,Sem Contrato,Desativada,Fora da validade,2004-11-07,2009-11-06,Sim
4855,Fernanda Gomes Dias,9,Oeste,Dependente (4854),Ativada,Dentro da validade,2004-11-07,2009-11-06,Sim
4856,Gabriel Ramos Dias,10,Oeste,Dependente (4854),Desativada,Dentro da validade,2004-11-07,2009-11-06,Sim
4857,Ricardo Barbosa Dias,20,Oeste,Dependente (4854),Ativada,Fora da validade,,,Sim
4858,Ricardo Barbosa Dias,59,Oeste,Dependente (4854),Ativada,Dentro da validade,,,Sim
4859,Ricardo Barbosa Dias,8,Oeste,Dependente (4854),Desativada,Dentro da validade,,,Sim
4860,Silvia Cavalcanti,52,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-08-18,2009-08-17,Sim
4861,Raquel Pires Cavalcanti,40,Oeste,Dependente (4860),Ativada,Fora da validade,,,Sim
4862,Lucas Teixeira Cavalcanti,52,Oeste,Dependente (4860),Desativada,Dentro da validade,,,Sim
4863,Isabela Castro Cavalcanti,25,Oeste,Dependente (4860),Desativada,Dentro da validade,,,Sim
4864,Paula Melo Cavalcanti,16,Oeste,Dependente (4860),Ativada,Dentro da validade,,,Sim
4865,Raquel Pires Cavalcanti,59,Oeste,Dependente (4860),Desativada,Dentro da validade,,,Sim
4866,Juliana Lima,44,Oeste,Sem Contrato,Desativada,Fora da validade,2004-03-19,2005-03-19,Sim
4867,Diego Pinto,62,Norte,Sem Contrato,Desativada,Dentro da validade,2004-08-03,2005-08-03,Não
4868,Paulo Nascimento Pinto,13,Norte,Dependente (4867),Desativada,Dentro da validade,,,Sim
4869,Lucia Ferreira,44,Oeste,Sem Contrato,Desativada,Fora da validade,2004-10-01,2005-10-01,Não
4870,Diego Pinto Ferreira,58,Oeste,Dependente (4869),Desativada,Fora da validade,,,Sim
4871,Maria Santos Ferreira,38,Oeste,Dependente (4869),Ativada,Dentro da validade,2004-10-01,2005-10-01,Sim
4872,Silvia Cavalcanti Ferreira,10,Oeste,Dependente (4869),Desativada,Dentro da validade,,,Sim
4873,Leonardo Vieira,26,Oeste,Sem Contrato,Desativada,Fora da validade,2004-10-19,2005-10-19,Sim
4874,Roberto Martins Vieira,40,Oeste,Dependente (4873),Desativada,Dentro da validade,,,Sim
4875,Lucia Ferreira Vieira,6,Oeste,Dependente (4873),Ativada,Fora da validade,,,Sim
4876,Tatiana Moreira Vieira,40,Oeste,Dependente (4873),Ativada,Dentro da validade,,,Sim
4877,Patricia Rocha,30,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-03-06,2009-03-05,Não
4878,Pedro Oliveira Rocha,26,Oeste,Dependente (4877),Desativada,Dentro da validade,2004-03-06,2009-03-05,Sim
4879,Renata Campos,63,Norte,Sem Contrato,Ativada,Fora da validade,2004-11-24,2005-11-24,Não
4880,Thiago Monteiro,34,Oeste,Sem Contrato,Desativada,Fora da validade,2004-03-30,2005-03-30,Não
4881,Henrique Lopes Monteiro,26,Oeste,Dependente (4880),Ativada,Dentro da validade,,,Sim
4882,Juliana Lima Monteiro,45,Oeste,Dependente (4880),Ativada,Fora da validade,,,Sim
4883,Bruna Ribeiro Monteiro,30,Oeste,Dependente (4880),Desativada,Dentro da validade,,,Sim
4884,Thiago Monteiro,42,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-01-20,2005-01-19,Não
4885,Eduardo Moura Monteiro,33,Oeste,Dependente (4884),Desativada,Dentro da validade,,,Sim
4886,Raquel Pires Monteiro,44,Oeste,Dependente (4884),Desativada,Dentro da validade,,,Sim
4887,Ana Costa Monteiro,31,Oeste,Dependente (4884),Desativada,Fora da validade,,,Sim
4888,Marcelo Rezende,19,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-03-11,2014-03-09,Não
4889,Daniela Sousa Rezende,22,Oeste,Dependente (4888),Desativada,Dentro da validade,,,Sim
4890,Anderson Coelho Rezende,41,Oeste,Dependente (4888),Desativada,Dentro da validade,2004-03-11,2014-03-09,Sim
4891,Marcelo Rezende,39,Oeste,Sem Contrato,Desativada,Fora da validade,2004-01-09,2005-01-08,Não
4892,Adriana Farias Rezende,15,Oeste,Dependente (4891),Desativada,Dentro da validade,,,Sim
4893,Daniela Sousa Rezende,50,Oeste,Dependente (4891),Desativada,Dentro da validade,,,Sim
4894,Isabela Castro,21,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-10-15,2014-10-13,Não
4895,Bruno Castro,31,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-07-28,2009-07-27,Sim
4896,Adriana Farias Castro,21,Oeste,Dependente (4895),Desativada,Fora da validade,,,Sim
4897,Leonardo Vieira Castro,38,Oeste,Dependente (4895),Desativada,Dentro da validade,,,Sim
4898,Diego Pinto Castro,49,Oeste,Dependente (4895),Desativada,Dentro da validade,,,Sim
4899,Alexandre Araújo,67,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-03-26,2009-03-25,Sim
4900,Silvia Cavalcanti Araújo,39,Oeste,Dependente (4899),Desativada,Fora da validade,2004-03-26,2009-03-25,Sim
4901,Camila Rodrigues Araújo,14,Oeste,Dependente (4899),Ativada,Dentro da validade,,,Sim
4902,Eduardo Moura Araújo,37,Oeste,Dependente (4899),Ativada,Dentro da validade,,,Sim
4903,Bruna Ribeiro Araújo,36,Oeste,Dependente (4899),Desativada,Fora da validade,,,Sim
4904,Rafael Mendes,57,Sul,Sem Contrato,Desativada,Dentro da validade,2004-09-14,2005-09-14,Sim
4905,Bruno Castro Mendes,35,Sul,Dependente (4904),Ativada,Dentro da validade,,,Sim
4906,Ricardo Barbosa Mendes,10,Sul,Dependente (4904),Desativada,Dentro da validade,,,Sim
4907,Leonardo Vieira,68,Norte,Sem Contrato,Ativada,Dentro da validade,2004-06-25,2014-06-23,Sim
4908,Leticia Cunha Vieira,22,Norte,Dependente (4907),Ativada,Fora da validade,,,Sim
4909,Gabriel Ramos Vieira,38,Norte,Dependente (4907),Ativada,Fora da validade,,,Sim
4910,Patricia Rocha,46,Oeste,Sem Contrato,Desativada,Fora da validade,2004-03-21,2009-03-20,Sim
4911,Paulo Nascimento Rocha,26,Oeste,Dependente (4910),Ativada,Fora da validade,,,Sim
4912,Rafael Mendes Rocha,9,Oeste,Dependente (4910),Desativada,Fora da validade,,,Sim
4913,Patricia Rocha Rocha,44,Oeste,Dependente (4910),Ativada,Dentro da validade,,,Sim
4914,Marcelo Rezende Rocha,5,Oeste,Dependente (4910),Desativada,Dentro da validade,,,Sim
4915,Fernanda Gomes,65,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-04-15,2009-04-14,Sim
4916,Cristina Machado,38,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-02-13,2014-02-10,Não
4917,Anderson Coelho Machado,39,Oeste,Dependente (4916),Desativada,Dentro da validade,,,Sim
4918,Lucas Teixeira,28,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-12-05,2014-12-03,Não
4919,Vinicius Torres Teixeira,8,Oeste,Dependente (4918),Desativada,Fora da validade,,,Sim
4920,Pedro Oliveira Teixeira,22,Oeste,Dependente (4918),Ativada,Dentro da validade,2004-12-05,2014-12-03,Sim
4921,Beatriz Cardoso,18,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-06-02,2014-05-31,Não
4922,Vanessa Correia Cardoso,30,Oeste,Dependente (4921),Desativada,Dentro da validade,2004-06-02,2014-05-31,Sim
4923,Rafael Mendes Cardoso,21,Oeste,Dependente (4921),Ativada,Fora da validade,2004-06-02,2014-05-31,Sim
4924,Daniela Sousa Cardoso,14,Oeste,Dependente (4921),Desativada,Dentro da validade,,,Sim
4925,Mariana Duarte Cardoso,59,Oeste,Dependente (4921),Ativada,Fora da validade,2004-06-02,2014-05-31,Sim
4926,Leonardo Vieira Cardoso,49,Oeste,Dependente (4921),Ativada,Dentro da validade,2004-06-02,2014-05-31,Sim
4927,Paula Melo Cardoso,18,Oeste,Dependente (4921),Ativada,Fora da validade,,,Sim
4928,Henrique Lopes,54,Oeste,Sem Contrato,Desativada,Fora da validade,2004-06-02,2014-05-31,Sim
4929,Paula Melo Lopes,45,Oeste,Dependente (4928),Desativada,Dentro da validade,,,Sim
4930,Paula Melo Lopes,7,Oeste,Dependente (4928),Ativada,Dentro da validade,,,Sim
4931,Alexandre Araújo,64,Norte,Sem Contrato,Ativada,Dentro da validade,2004-07-01,2009-06-30,Não
4932,Rafael Mendes Araújo,40,Norte,Dependente (4931),Ativada,Fora da validade,,,Sim
4933,Lucas Teixeira Araújo,21,Norte,Dependente (4931),Ativada,Fora da validade,,,Sim
4934,Cristina Machado Araújo,37,Norte,Dependente (4931),Ativada,Fora da validade,,,Sim
4935,Maria Santos,53,Oeste,Sem Contrato,Desativada,Fora da validade,2004-01-02,2008-12-31,Não
4936,Fernando Alves Santos,43,Oeste,Dependente (4935),Ativada,Dentro da validade,,,Sim
4937,Carlos Souza Santos,14,Oeste,Dependente (4935),Ativada,Fora da validade,,,Sim
4938,Isabela Castro Santos,43,Oeste,Dependente (4935),Desativada,Dentro da validade,,,Sim
4939,Bruna Ribeiro Santos,63,Oeste,Dependente (4935),Ativada,Dentro da validade,,,Sim
4940,Simone Fonseca,66,Oeste,Sem Contrato,Desativada,Fora da validade,2004-09-23,2014-09-21,Não
4941,Thiago Monteiro Fonseca,29,Oeste,Dependente (4940),Desativada,Dentro da validade,,,Sim
4942,Maria Santos Fonseca,28,Oeste,Dependente (4940),Ativada,Fora da validade,,,Sim
4943,Silvia Cavalcanti Fonseca,18,Oeste,Dependente (4940),Desativada,Dentro da validade,,,Sim
4944,Fernando Alves,48,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-08-10,2014-08-08,Não
4945,Daniela Sousa Alves,22,Oeste,Dependente (4944),Desativada,Fora da validade,,,Sim
4946,Amanda Dias,43,Norte,Sem Contrato,Ativada,Dentro da validade,2004-01-28,2009-01-26,Não
4947,Patricia Rocha Dias,8,Norte,Dependente (4946),Desativada,Dentro da validade,,,Sim
4948,Cristina Machado Dias,21,Norte,Dependente (4946),Ativada,Fora da validade,2004-01-28,2009-01-26,Sim
4949,Raquel Pires Dias,21,Norte,Dependente (4946),Ativada,Dentro da validade,,,Sim
4950,Paulo Nascimento Dias,49,Norte,Dependente (4946),Ativada,Dentro da validade,2004-01-28,2009-01-26,Sim
4951,Vanessa Correia,47,Sul,Sem Contrato,Ativada,Dentro da validade,2004-06-29,2009-06-28,Não
4952,Isabela Castro Correia,11,Sul,Dependente (4951),Ativada,Dentro da validade,,,Sim
4953,Leticia Cunha Correia,18,Sul,Dependente (4951),Desativada,Dentro da validade,,,Sim
4954,Lucia Ferreira Correia,39,Sul,Dependente (4951),Ativada,Dentro da validade,,,Sim
4955,Simone Fonseca Correia,48,Sul,Dependente (4951),Desativada,Fora da validade,,,Sim
4956,Mariana Duarte Correia,52,Sul,Dependente (4951),Ativada,Fora da validade,2004-06-29,2009-06-28,Sim
4957,Vanessa Correia,24,Oeste,Sem Contrato,Ativada,Fora da validade,2004-07-04,2014-07-02,Sim
4958,Leonardo Vieira Correia,45,Oeste,Dependente (4957),Ativada,Dentro da validade,2004-07-04,2014-07-02,Sim
4959,Camila Rodrigues Correia,52,Oeste,Dependente (4957),Desativada,Fora da validade,,,Sim
4960,Gustavo Azevedo Correia,5,Oeste,Dependente (4957),Ativada,Dentro da validade,,,Sim
4961,Daniela Sousa Correia,33,Oeste,Dependente (4957),Desativada,Dentro da validade,,,Sim
4962,Mariana Duarte Correia,47,Oeste,Dependente (4957),Ativada,Fora da validade,,,Sim
4963,Vinicius Torres Correia,20,Oeste,Dependente (4957),Desativada,Dentro da validade,2004-07-04,2014-07-02,Sim
4964,Pedro Oliveira,38,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-06-27,2014-06-25,Sim
4965,Vanessa Correia Oliveira,7,Oeste,Dependente (4964),Ativada,Dentro da validade,,,Sim
4966,Diego Pinto Oliveira,11,Oeste,Dependente (4964),Ativada,Dentro da validade,,,Sim
4967,Pedro Oliveira,19,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-11-11,2014-11-09,Não
4968,Cristina Machado Oliveira,22,Oeste,Dependente (4967),Ativada,Dentro da validade,,,Sim
4969,Henrique Lopes Oliveira,16,Oeste,Dependente (4967),Desativada,Dentro da validade,,,Sim
4970,Vanessa Correia Oliveira,62,Oeste,Dependente (4967),Desativada,Dentro da validade,,,Sim
4971,Adriana Farias,67,Oeste,Sem Contrato,Desativada,Fora da validade,2004-07-06,2014-07-04,Não
4972,Thiago Monteiro Farias,17,Oeste,Dependente (4971),Desativada,Dentro da validade,,,Sim
4973,Monica Batista Farias,55,Oeste,Dependente (4971),Ativada,Dentro da validade,,,Sim
4974,Mariana Duarte Farias,8,Oeste,Dependente (4971),Ativada,Dentro da validade,,,Sim
4975,José Carvalho,35,Oeste,Sem Contrato,Desativada,Fora da validade,2004-10-02,2005-10-02,Sim
4976,Leticia Cunha,30,Oeste,Sem Contrato,Desativada,Dentro da validade,2004-02-08,2009-02-06,Não
4977,José Carvalho Cunha,32,Oeste,Dependente (4976),Ativada,Fora da validade,2004-02-08,2009-02-06,Sim
4978,Rodrigo Neves Cunha,50,Oeste,Dependente (4976),Desativada,Dentro da validade,,,Sim
4979,Maria Santos,62,Oeste,Sem Contrato,Ativada,Fora da validade,2004-08-14,2005-08-14,Sim
4980,José Carvalho,47,Oeste,Sem Contrato,Desativada,Fora da validade,2004-12-07,2005-12-07,Não
4981,Lucia Ferreira Carvalho,29,Oeste,Dependente (4980),Desativada,Dentro da validade,,,Sim
4982,Beatriz Cardoso Carvalho,16,Oeste,Dependente (4980),Desativada,Fora da validade,2004-12-07,2005-12-07,Sim
4983,Silvia Cavalcanti,48,Sul,Sem Contrato,Desativada,Dentro da validade,2004-05-01,2014-04-29,Sim
4984,Diego Pinto Cavalcanti,32,Sul,Dependente (4983),Desativada,Dentro da validade,,,Sim
4985,Monica Batista Cavalcanti,13,Sul,Dependente (4983),Desativada,Fora da validade,2004-05-01,2014-04-29,Sim
4986,Paulo Nascimento Cavalcanti,45,Sul,Dependente (4983),Desativada,Dentro da validade,,,Sim
4987,Diego Pinto Cavalcanti,10,Sul,Dependente (4983),Desativada,Dentro da validade,,,Sim
4988,Felipe Barros Cavalcanti,41,Sul,Dependente (4983),Desativada,Dentro da validade,,,Sim
4989,Raquel Pires Cavalcanti,60,Sul,Dependente (4983),Ativada,Fora da validade,,,Sim
4990,Tatiana Moreira,34,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-06-12,2009-06-11,Não
4991,Rafael Mendes Moreira,22,Oeste,Dependente (4990),Ativada,Dentro da validade,,,Sim
4992,Simone Fonseca Moreira,49,Oeste,Dependente (4990),Ativada,Fora da validade,,,Sim
4993,Gustavo Azevedo,23,Oeste,Sem Contrato,Ativada,Fora da validade,2004-12-22,2009-12-21,Sim
4994,Adriana Farias Azevedo,57,Oeste,Dependente (4993),Desativada,Dentro da validade,,,Sim
4995,Marcelo Rezende,31,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-12-19,2014-12-17,Não
4996,Mariana Duarte Rezende,65,Oeste,Dependente (4995),Ativada,Dentro da validade,2004-12-19,2014-12-17,Sim
4997,Maria Santos Rezende,65,Oeste,Dependente (4995),Ativada,Fora da validade,,,Sim
4998,Amanda Dias Rezende,25,Oeste,Dependente (4995),Ativada,Dentro da validade,,,Sim
4999,Fernanda Gomes Rezende,33,Oeste,Dependente (4995),Ativada,Dentro da validade,,,Sim
5000,Ricardo Barbosa Rezende,5,Oeste,Dependente (4995),Ativada,Fora da validade,,,Sim
5001,Gabriel Ramos Rezende,34,Oeste,Dependente (4995),Desativada,Dentro da validade,,,Sim
5002,Rodrigo Neves,44,Oeste,Sem Contrato,Ativada,Fora da validade,2004-10-20,2005-10-20,Não
5003,Paula Melo Neves,43,Oeste,Dependente (5002),Ativada,Dentro da validade,,,Sim
5004,Vinicius Torres Neves,58,Oeste,Dependente (5002),Ativada,Dentro da validade,,,Sim
5005,Mariana Duarte Neves,14,Oeste,Dependente (5002),Ativada,Dentro da validade,2004-10-20,2005-10-20,Sim
5006,Isabela Castro,53,Oeste,Sem Contrato,Ativada,Dentro da validade,2004-09-21,2009-09-20,Não
5007,Isabela Castro,28,Oeste,Sem Contrato,Desativada,Fora da validade,2004-04-25,2014-04-23,Não
5008,Fernando Alves Castro,42,Oeste,Dependente (5007),Desativada,Dentro da validade,,,Sim
5009,Monica Batista Castro,53,Oeste,Dependente (5007),Ativada,Fora da validade,,,Sim
5010,Paulo Nascimento Castro,55,Oeste,Dependente (5007),Desativada,Dentro da validade,,,Sim
5011,João Silva,63,Norte,Sem Contrato,Ativada,Dentro da validade,2004-10-16,2014-10-14,Sim
5012,Patricia Rocha,46,Oeste,Sem Contrato,Ativada,Fora da validade,2004-12-28,2014-12-26,Não
5013,Vanessa Correia Rocha,39,Oeste,Dependente (5012),Ativada,Dentro da validade,,,Sim
